1.3291515973e-04, 9.9999924212e-01, 9.9999349600e-01
9.6904690993e-05, 9.9999924186e-01, 9.9999349405e-01
6.8065457434e-05, 9.9999924160e-01, 9.9999349214e-01
4.5602475457e-05, 9.9999924135e-01, 9.9999349026e-01
2.8720130774e-05, 9.9999924110e-01, 9.9999348842e-01
1.6804141039e-05, 9.9999926607e-01, 9.9999372509e-01
8.5798124706e-06, 9.9999925709e-01, 9.9999364016e-01
7.2000094876e-06, 9.9999924672e-01, 9.9999354233e-01
3.3412735926e-06, 9.9999924524e-01, 9.9999352920e-01
7.0987234008e-07, 9.9999924738e-01, 9.9999354979e-01


